Zip Code,Bedrooms,Payment Standard
44127,2,"$1,129"
44127,3,"$1,468"
44127,4,"$1,558"
44127,5,"$1,792"
44127,6,"$2,025"
44127,7,"$2,259"
44127,8,"$2,493"
44127,9,"$2,727"
44128,0,$973
44128,1,"$1,095"
44128,2,"$1,332"
44128,3,"$1,720"
44128,4,"$1,840"
44128,5,"$2,116"
44128,6,"$2,392"
44128,7,"$2,668"
44128,8,"$2,944"
44128,9,"$3,220"
44129,0,"$1,044"
44129,1,"$1,176"
44129,2,"$1,428"
44129,3,"$1,836"
44129,4,"$1,968"
44129,5,"$2,263"
44129,6,"$2,558"
44129,7,"$2,853"
44129,8,"$3,148"
44129,9,"$3,444"
44130,0,"$1,116"
44130,1,"$1,260"
44130,2,"$1,524"
44130,3,"$1,956"
44130,4,"$2,100"
44130,5,"$2,415"
44130,6,"$2,730"
44130,7,"$3,044"
44130,8,"$3,360"
44130,9,"$3,674"
44131,0,"$1,512"
44131,1,"$1,716"
44131,2,"$2,076"
44131,3,"$2,664"
44131,4,"$2,868"
44131,5,"$3,298"
44131,6,"$3,728"
44131,7,"$4,158"
44131,8,"$4,588"
44131,9,"$5,018"
44132,0,$982
44132,1,"$1,106"
44132,2,"$1,344"
44132,3,"$1,727"
44132,4,"$1,852"
44132,5,"$2,129"
44132,6,"$2,407"
44132,7,"$2,685"
44132,8,"$2,962"
44132,9,"$3,240"
44133,0,"$1,092"
44133,1,"$1,236"
44133,2,"$1,500"
44133,3,"$1,932"
44133,4,"$2,064"
44133,5,"$2,373"
44133,6,"$2,683"
44133,7,"$2,992"
44133,8,"$3,302"
44133,9,"$3,612"
44134,0,"$1,176"
44134,1,"$1,332"
44134,2,"$1,620"
44134,3,"$2,088"
44134,4,"$2,232"
44134,5,"$2,566"
44134,6,"$2,901"
44134,7,"$3,236"
44134,8,"$3,571"
44134,9,"$3,906"
44135,0,$982
44135,1,"$1,118"
44135,2,"$1,355"
44135,3,"$1,739"
44135,4,"$1,874"
44135,5,"$2,155"
44135,6,"$2,436"
44135,7,"$2,718"
44135,8,"$2,999"
44135,9,"$3,280"
44136,0,"$1,224"
44136,1,"$1,380"
44136,2,"$1,680"
44136,3,"$2,160"
44136,4,"$2,316"
44136,5,"$2,663"
44136,6,"$3,010"
44136,7,"$3,357"
44136,8,"$3,705"
44136,9,"$4,052"
44137,0,"$1,231"
44137,1,"$1,389"
44137,2,"$1,682"
44137,3,"$2,168"
44137,4,"$2,326"
44137,5,"$2,675"
44137,6,"$3,023"
44137,7,"$3,372"
44137,8,"$3,721"
44137,9,"$4,070"
44138,0,"$1,272"
44138,1,"$1,428"
44138,2,"$1,740"
44138,3,"$2,232"
44138,4,"$2,400"
44138,5,"$2,760"
44138,6,"$3,120"
44138,7,"$3,480"
44138,8,"$3,840"
44138,9,"$4,200"
44139,0,"$1,464"
44139,1,"$1,656"
44139,2,"$2,016"
44139,3,"$2,592"
44139,4,"$2,784"
44139,5,"$3,201"
44139,6,"$3,619"
44139,7,"$4,036"
44139,8,"$4,454"
44139,9,"$4,872"
44140,0,"$1,428"
44140,1,"$1,608"
44140,2,"$1,956"
44140,3,"$2,520"
44140,4,"$2,700"
44140,5,"$3,105"
44140,6,"$3,510"
44140,7,"$3,914"
44140,8,"$4,320"
44140,9,"$4,724"
44141,0,"$1,584"
44141,1,"$1,788"
44141,2,"$2,172"
44141,3,"$2,784"
44141,4,"$2,988"
44141,5,"$3,436"
44141,6,"$3,884"
44141,7,"$4,332"
44141,8,"$4,780"
44141,9,"$5,228"
44142,0,"$1,050"
44142,1,"$1,185"
44142,2,"$1,445"
44142,3,"$1,863"
44142,4,"$1,998"
44142,5,"$2,298"
44142,6,"$2,598"
44142,7,"$2,897"
44142,8,"$3,197"
44142,9,"$3,497"
44143,0,$996
44143,1,"$1,128"
44143,2,"$1,368"
44143,3,"$1,764"
44143,4,"$1,884"
44143,5,"$2,166"
44143,6,"$2,449"
44143,7,"$2,731"
44143,8,"$3,014"
44143,9,"$3,296"
44144,0,$892
44144,1,"$1,016"
44144,2,"$1,231"
44144,3,"$1,581"
44144,4,"$1,694"
44144,5,"$1,948"
44144,6,"$2,202"
44144,7,"$2,456"
44144,8,"$2,710"
44144,9,"$2,964"
44145,0,"$1,464"
44145,1,"$1,656"
44145,2,"$2,004"
44145,3,"$2,580"
44145,4,"$2,760"
44145,5,"$3,174"
44145,6,"$3,588"
44145,7,"$4,002"
44145,8,"$4,416"
44145,9,"$4,830"
44146,0,"$1,080"
44146,1,"$1,212"
44146,2,"$1,476"
44146,3,"$1,896"
44146,4,"$2,040"
44146,5,"$2,346"
44146,6,"$2,652"
44146,7,"$2,958"
44146,8,"$3,264"
44146,9,"$3,570"
44147,0,"$1,128"
44147,1,"$1,272"
44147,2,"$1,548"
44147,3,"$1,992"
44147,4,"$2,136"
44147,5,"$2,456"
44147,6,"$2,776"
44147,7,"$3,097"
44147,8,"$3,417"
44147,9,"$3,738"
44149,0,"$1,344"
44149,1,"$1,524"
44149,2,"$1,848"
44149,3,"$2,376"
44149,4,"$2,544"
44149,5,"$2,925"
44149,6,"$3,307"
44149,7,"$3,688"
44149,8,"$4,070"
44149,9,"$4,452"
44181,0,$982
44181,1,"$1,118"
44181,2,"$1,355"
44181,3,"$1,739"
44181,4,"$1,874"
44181,5,"$2,155"
44181,6,"$2,436"
44181,7,"$2,718"
44181,8,"$2,999"
44181,9,"$3,280"
